fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,July,29,TAMIL NADU,2931,ARIYALUR,1938856,273.457855713076,10,181,1456.419677559,1942,0,2507,266774,60161,55858,7000,2966,143.41842,2329.352557559,26496,29268,176782,248099,0,186918,259184,4449,729.51446,211800,62,16.13,37.74,99.93,NA
2024-2025,July,29,TAMIL NADU,2934,Ranipet,1650395,285.104776856856,9,1065,2368.792085132,1901,0,2360,805111,208556,55169,10918,2147,219.20563,4883.407635132,87243,91355,155411,217394,0,178861,245099,4261,2295.40992,732823,53,3.71,65.41,99.93,NA
2024-2025,July,29,TAMIL NADU,2901,KANCHIPURAM,1722514,283.658734018463,10,599,3074.38976406,2382,0,2623,652237,241509,58196,20982,2510,298.6635,5223.18048106,64568,65996,128004,157536,0,139855,177712,5005,1850.127217,568094,46,13.25,55.06,99.86,NA
2024-2025,July,29,TAMIL NADU,2902,TIRUVALLUR,3373859,260.426779881518,6,787,4427.999196193,4028,0,5044,501171,184219,117488,31249,8226,611.73967,6344.922363193,74289,75513,258364,305161,1,299259,366299,9072,1305.183497,458355,34,17.7,32.89,99.97,NA
2024-2025,July,29,TAMIL NADU,2906,TIRUVANNAMALAI,6136103,168.875730921952,9,9213,6016.86949136,4666,0,6767,2476865,572930,150342,163618,27665,712.29727,10911.99063406,270131,281087,511959,653016,1,533377,675815,11433,4182.8238727,2058518,56,15.35,60.66,99.94,NA
2024-2025,July,29,TAMIL NADU,2909,DHARMAPURI,2851045,257.582977142053,9,454,4302.995675666,2976,0,4887,490289,69852,37164,33981,8102,352.05941,5917.956088466,49384,51172,235763,268410,1,268426,303295,7863,1262.9010028,452363,70,11.11,31.73,99.94,NA
2024-2025,July,29,TAMIL NADU,2918,PERAMBALUR,1368806,234.098815584817,7,343,995.16425543,877,0,1297,207022,69470,55300,1037,502,111.32692,1591.12722543,25970,27882,122732,174102,0,140549,194269,2174,484.63605,174027,55,12.16,33.8,99.86,NA
2024-2025,July,29,TAMIL NADU,2935,TIRUPATHUR,1401421,264.495260549391,9,439,1195.857151626,3305,0,2199,498370,96141,25091,13321,5033,140.22254,2654.244721626,54124,55961,126779,145633,0,137248,158333,5504,1318.16503,451218,81,47.46,25.64,99.7,NA
2024-2025,July,29,TAMIL NADU,2904,VILLUPURAM,4951400,226.41646711187,8,5689,6573.693426795,3721,0,4833,1474833,424891,174425,25321,6700,796.36803,10709.326231195,170042,179111,423725,587193,1,447069,621336,8554,3339.2647744,1211620,50,7.14,50.21,99.98,NA
2024-2025,July,29,TAMIL NADU,2905,VELLORE,1592512,264.964639032655,8,586,2394.98123236801,1741,0,3002,475694,126344,37478,8252,4445,284.25278,3939.65490236801,53243,54524,129902,151243,0,140811,178098,4743,1260.42089,421941,61,24.43,35.89,99.84,NA
2024-2025,July,29,TAMIL NADU,2906,TIRUVANNAMALAI,6136103,169.057993074462,9,9193,5800.90476986,4473,0,6951,2465368,569201,150334,163327,27665,712.29727,10681.10370256,269565,280482,511947,652972,1,533337,675736,11424,4167.9016627,2048716,56,15.22,60.79,100,NA
2024-2025,July,29,TAMIL NADU,2908,NAMAKKAL,1876173,283.547371327685,9,1526,2821.800523736,1836,0,2961,698946,192579,63769,48881,20558,320.08789,5123.731423736,70411,72682,182007,225336,2,213698,266829,4797,1981.84301,613678,45,19.08,47.4,100,NA
2024-2025,July,29,TAMIL NADU,2910,ERODE,1489612,291.372804094431,10,568,2741.750214081,1900,0,2862,355605,94329,47507,1725,2892,224.58475,4002.471224081,33105,33702,142010,164304,0,185775,216960,4762,1036.13626,306751,48,47.16,10.59,99.99,NA
2024-2025,July,29,TAMIL NADU,2914,NAGAPATTINAM,1236148,306.722040858677,7,151,2287.9013335,2192,0,2409,183119,90582,83615,23,249,148.88265,2998.4503175,23060,26483,107118,165410,0,117464,177637,4601,561.666334,140499,71,11.74,7.57,100,NA
2024-2025,July,29,TAMIL NADU,2919,PUDUKKOTTAI,3429800,261.73826860299,6,493,4919.94865196,3399,0,6816,671169,143228,83958,6,4,416.00084,7092.65561196,98959,102336,296466,430581,0,331479,476025,10215,1756.70612,594869,44,16.48,43.23,99.99,NA
2024-2025,July,29,TAMIL NADU,2923,RAMANATHAPURAM,2266792,287.312139884959,10,1700,3274.620875208,8171,0,10428,1094914,259930,65492,66,17,330.59432,6751.036038508,106798,111706,196143,250115,0,226871,284771,18599,3145.8208433,961128,76,45.47,8,100,NA
2024-2025,July,29,TAMIL NADU,2925,SIVAGANGAI,2181901,286.446943553931,8,359,7468.94375895901,3295,0,4350,293838,57042,46069,33,17,366.29748,8676.93120895901,34914,35472,186655,221236,0,198271,233809,7645,841.68997,264990,43,17.95,16.31,100,NA
2024-2025,July,29,TAMIL NADU,2932,TIRUPPUR,1508621,290.552131943878,9,196,4716.49325851901,1595,0,2689,355727,120052,64011,1156,257,213.99956,5964.06520091901,37548,38294,139733,164273,3,173806,223466,4284,1033.5723824,306110,47,27.94,23.5,100,NA
2024-2025,Sep,29,TAMIL NADU,2912,THE NILGIRIS,422800,301.018184597044,23,183,635.364148548,581,0,990,327145,96412,12895,30235,3745,146.47932,1766.609408548,14083,14545,34047,43021,1,53786,65619,1571,984.76594,276538,79,10.27,57.67,100,NA
2024-2025,Sep,29,TAMIL NADU,2920,MADURAI,4579627,273.831402258007,13,2807,4321.334580194,2997,0,5801,2219834,434737,67340,5817,657,689.10225,11089.039400194,166064,174606,271236,318222,10,293698,352995,8798,6078.60257,1981688,63,55.08,18.36,99.98,NA
2024-2025,Sep,29,TAMIL NADU,2931,ARIYALUR,2859812,272.877621834865,14,1383,1572.151322059,2725,0,2696,1975153,438687,56417,27924,3000,225.11884,7187.020696059,138509,166541,179201,251567,0,188756,261976,5421,5389.750534,1573812,56,54.11,32.77,99.99,NA
2024-2025,Sep,29,TAMIL NADU,2937,KALLAKURICHI,5085820,241.855034217635,14,2675,3828.4491603,3147,0,5822,3275504,1098456,161303,123751,19358,584.97237,12335.3928503,229415,294895,290324,501229,2,309544,525088,8969,7921.97132,2496207,56,21.26,61.08,99.92,NA
2024-2025,Sep,29,TAMIL NADU,2908,NAMAKKAL,2767355,289.100791449506,24,2915,3163.649152926,2719,0,6224,3059753,844956,64616,223767,20631,495.76929,12505.188582326,126119,133450,184645,228812,24,215859,269718,8943,8845.7701394,2709157,57,19.12,55.92,100,NA
2024-2025,Sep,29,TAMIL NADU,2921,THENI,1086143,278.129489754609,16,563,2537.77508937,1187,0,1931,590363,123379,25714,384,173,234.12494,4413.87362897,35582,37885,86425,104180,4,111054,130963,3118,1641.9735996,492017,48,27.71,40.02,99.99,NA
2024-2025,Sep,29,TAMIL NADU,2933,CHENGALPATTU,3804421,276.582651109351,18,2956,2840.97379994,4647,0,6120,2490961,1061746,104801,62739,4292,451.17886,10181.71863184,137817,143492,197371,240697,7,216701,275025,10767,6889.5659719,2188808,49,14.25,69.68,99.95,NA
2024-2025,Sep,29,TAMIL NADU,2934,Ranipet,2434332,277.862742407306,21,1829,2503.685147732,2648,0,2753,2826039,719938,54926,31302,2172,345.87814,10702.072754632,133064,143033,157257,217825,2,179940,244298,5401,7852.5094669,2557333,49,14.77,68.66,100,NA
2024-2025,Nov,29,TAMIL NADU,2915,TIRUVARUR,3776373,248.170648830886,16,1792,2904.233303536,4521,0,6328,2156078,1096678,144817,191,41,722.9945,8977.980565436,130523,158082,181144,270862,15,193822,285550,10849,5350.7527619,1685180,63,59.01,6.84,100,NA
2024-2025,Nov,29,TAMIL NADU,2917,KARUR,2568064,285.122697506092,23,1345,3157.686821624,2493,0,3553,2045304,432177,37871,286,27,391.9561,9381.268858624,86126,91351,128520,159294,120,141187,174777,6046,5831.625937,1788569,74,71.85,9.33,100,NA
2024-2025,Nov,29,TAMIL NADU,2923,RAMANATHAPURAM,4157438,293.029570166324,31,3727,6445.10056290797,15939,0,12702,5396157,1297053,63502,349,23,707.71667,22965.152895508,172231,185371,199998,245873,334,221063,268672,28641,15812.3356626,4735244,79,60.62,11.38,100,NA
2024-2025,Nov,29,TAMIL NADU,2926,TIRUNELVELI,2066875,290.531743335034,28,546,2819.573241372,2563,0,4151,1877654,519965,35086,2436,148,433.91691,8708.671051372,65357,68002,99779,117096,47,118639,137571,6714,5455.1809,1723302,44,15.08,50.51,100,NA
2024-2025,Oct,29,TAMIL NADU,2901,KANCHIPURAM,2951957,276.637354126545,27,1166,4381.69584045999,3692,0,3295,2670551,1002623,57574,53834,2521,592.63644,12362.07390746,98582,103154,128753,156664,32,139280,174925,6987,7387.741627,2333493,52,8.06,70.13,99.99,NA
2024-2025,Oct,29,TAMIL NADU,2903,CUDDALORE,8028379,265.249342238651,22,6323,9212.542795186,12871,0,12513,8068063,2942133,252944,54034,3433,1204.36124,31817.388074086,360338,451240,419419,672600,64,463010,725060,25384,21400.4840389,6314348,60,40.07,35.26,99.97,NA
2024-2025,Oct,29,TAMIL NADU,2904,VILLUPURAM,8485460,248.433187558727,25,10114,8742.628007619,5136,0,8689,9270659,2691801,177711,123686,6877,1325.812,33099.833669019,364619,409107,431663,599670,60,454362,633077,13825,23031.3936614,7669898,50,5.6,76.6,99.98,NA
2024-2025,Oct,29,TAMIL NADU,2908,NAMAKKAL,3215292,290.452399091048,32,3133,5081.633904126,4578,0,6903,4463603,1211242,65078,340282,20794,627.3336,18673.609503526,136967,146251,186178,230871,104,216627,270880,11481,12964.6419994,3952624,63,22.74,54.94,100,NA
2024-2025,Oct,29,TAMIL NADU,2911,COIMBATORE,729242,292.426463145891,30,220,1940.885130499,2842,0,5049,1415351,487888,31688,38831,1865,378.00894,6457.754940899,47055,48399,83686,93130,52,108440,120908,7891,4138.8608704,1297084,68,69.22,9.12,99.96,NA
2024-2025,Oct,29,TAMIL NADU,2913,THANJAVUR,5222303,277.073933372926,24,3414,5151.96729854899,7438,0,9428,5687958,1644914,117097,1618,118,885.6242,21797.440457749,229280,268129,274398,366315,93,293162,386851,16866,15759.8489592,4833500,62,67.03,13.34,100,NA
2024-2025,Oct,29,TAMIL NADU,2915,TIRUVARUR,3528647,248.285259994461,15,1771,2890.840732136,4473,0,6118,2043582,1042778,144786,178,41,636.31099,8601.064604036,129226,156034,181067,270735,12,193750,285420,10591,5073.9128819,1598195,63,58.42,6.63,99.99,NA
2024-2025,Oct,29,TAMIL NADU,2916,TIRUCHIRAPPALLI,5068955,288.804017596059,23,4778,5748.51959244499,9087,0,8479,6165585,1249609,83504,140962,5129,626.51065,24181.487430745,258529,280667,303570,374718,111,316759,393757,17566,17806.4571883,5389933,67,49.75,22.26,100,NA
2024-2025,Oct,29,TAMIL NADU,2930,KRISHNAGIRI,4875848,293.938129855058,26,2668,5021.57329005098,7894,0,8258,5338891,726341,39692,47463,2867,631.29922,21345.908870451,202823,212258,258130,288511,121,292580,329313,16152,15693.0363604,4873901,78,45.35,36.87,99.99,NA
2024-2025,Oct,29,TAMIL NADU,2931,ARIYALUR,3322714,265.76011452988,24,1647,2124.595653159,3523,0,4137,4005243,857624,56950,51528,3041,276.17912,13045.113157159,161547,199490,181344,255153,5,190392,265035,7660,10644.338384,3198658,60,62.97,23.55,100,NA
2024-2025,Oct,29,TAMIL NADU,2936,TENKASI,2531854,284.885720454562,21,1601,2917.804030171,3455,0,3580,2084205,629256,63471,531,75,345.63163,9201.038090171,95793,107598,141959,192338,23,162143,215108,7035,5937.60243,1697093,54,21.91,51.5,100,NA
2024-2025,Nov,29,TAMIL NADU,2902,TIRUVALLUR,6187873,258.57266006712,26,2747,6427.343879593,6127,0,8972,5840300,2160572,119048,181438,8518,1211.4814,22740.244345493,221692,228462,265032,310553,8,305337,370699,15099,15101.4190659,5316853,41,15.66,65.38,100,NA
2024-2025,Nov,29,TAMIL NADU,2904,VILLUPURAM,9081176,255.534010294464,25,10140,8993.475936429,5195,0,9171,9488984,2759072,177794,126517,6883,1481.71243,34722.769717829,365454,410376,431815,599912,63,454433,633196,14366,24247.5813514,7856042,50,5.73,76.33,99.98,NA
2024-2025,Nov,29,TAMIL NADU,2915,TIRUVARUR,3776373,248.985506345985,16,1776,2904.233303536,4508,0,6213,2074619,1055296,144812,184,41,722.9945,8792.728425436,129633,156679,181114,270824,12,193818,285545,10721,5165.5006219,1621469,63,58.57,6.63,99.99,NA
2024-2025,Nov,29,TAMIL NADU,2919,PUDUKKOTTAI,6290466,274.061211031129,26,1680,8065.687214667,7111,0,9990,6530501,1215262,83729,102,4,938.67474,26901.932081667,246770,266728,298311,430631,25,332290,474669,17101,17897.570127,5873899,49,32.83,44.34,99.98,NA
2024-2025,Nov,29,TAMIL NADU,2920,MADURAI,5694455,261.598730231255,22,3851,6023.741999444,4626,0,9947,4788746,957608,67732,12027,665,934.19735,19485.238079444,212001,226166,273199,320501,115,295003,354595,14573,12527.29873,4272396,70,55.84,22.13,99.96,NA
2024-2025,Nov,29,TAMIL NADU,2924,VIRUDHUNAGAR,4382195,268.648123926763,32,3647,11716.3252521,3067,0,4831,5353549,1479106,78259,1708,126,749.88899,26848.4231941,162607,174469,220877,269881,232,244112,294773,7898,14382.208952,4654034,30,21.23,48.18,100,NA
2024-2025,Nov,29,TAMIL NADU,2928,KANNIYAKUMARI,740035,281.598171412937,34,424,992.693692407,1837,1,2199,877180,74428,4445,2834,231,290.62713,3753.443662407,25139,26060,40844,49748,2,75803,92687,4036,2470.12284,753269,66,65.48,9.38,100,NA
2024-2025,Oct,29,TAMIL NADU,2906,TIRUVANNAMALAI,10515746,219.952364148928,23,15136,8051.32875025,7833,0,8935,10087241,2312815,150949,423162,28053,1353.98945,31592.44325715,426927,462824,515708,657854,349,536396,679872,16768,22187.1250569,8401579,61,10.77,74.33,99.99,NA
2024-2025,Oct,29,TAMIL NADU,2910,ERODE,2552822,288.052188671626,26,1731,3873.161000762,3681,0,6888,2367436,624537,48192,25415,3119,455.74808,11148.360294162,87796,90809,146345,169399,240,188333,219805,10569,6819.4512134,2043454,72,52.51,21.91,100,NA
2024-2025,Oct,29,TAMIL NADU,2911,COIMBATORE,729242,288.350232545618,30,220,1940.885130499,2780,0,5104,1411508,486374,31638,38806,1850,378.00894,6388.980670899,47035,48376,83637,93018,52,108335,120717,7884,4070.0866004,1293564,68,69.22,9.13,99.96,NA
2024-2025,Oct,29,TAMIL NADU,2918,PERAMBALUR,2345791,253.353409285623,15,1088,1486.135457218,1272,0,2145,1371475,404968,55469,6287,506,211.32627,5172.140397218,86766,96685,123904,175312,3,141253,194889,3417,3474.67867,1171797,57,16.83,58.9,100,NA
2024-2025,Oct,29,TAMIL NADU,2931,ARIYALUR,3322714,265.182466952081,24,1645,1964.367443759,3489,0,4148,3930429,841544,56946,51027,3040,276.17912,12663.355147759,161291,199038,181293,255098,5,190385,265025,7637,10422.808584,3139390,60,62.58,23.81,100,NA
2024-2025,Oct,29,TAMIL NADU,2934,Ranipet,2828364,263.609858236736,29,1903,2909.791860532,2829,0,4154,4046676,1036045,55133,43210,2193,400.54178,13977.770507432,137507,148881,158127,218951,21,180619,245175,6983,10667.4368669,3653880,55,30.87,53.13,100,NA
2024-2025,Oct,29,TAMIL NADU,2935,TIRUPATHUR,2401686,255.910833212742,20,1323,1706.018482226,4484,0,4364,2031654,375381,25500,43213,5117,277.56626,7182.807421626,100473,106201,129701,148689,16,139837,161049,8848,5199.2226794,1843801,85,56.48,26.98,99.97,NA
2024-2025,Oct,29,TAMIL NADU,2937,KALLAKURICHI,5909034,257.450806919495,29,3146,4981.986735,4007,0,8225,7851787,2555069,162927,227244,20066,719.62811,25916.1038341,265914,370236,295471,510612,32,313439,532570,12232,20214.4889891,5913330,57,44.26,41.08,99.99,NA
2024-2025,Oct,29,TAMIL NADU,2902,TIRUVALLUR,5781954,261.41471674804,24,2722,6232.077075993,6018,0,8537,5361075,1985313,118591,167780,8465,988.69212,21235.408221893,219745,226384,264303,309406,5,304320,369182,14555,14014.6390259,4881270,41,14.68,66.04,100,NA
2024-2025,Oct,29,TAMIL NADU,2903,CUDDALORE,8028379,263.553572627963,21,6295,9210.009767886,12792,0,12439,7778347,2841131,252875,53010,3431,1204.36124,30914.482417786,358211,447812,419215,672233,60,462851,724772,25231,20500.1114099,6088338,60,39.54,35.81,99.97,NA
2024-2025,Oct,29,TAMIL NADU,2904,VILLUPURAM,8485460,252.140349773144,24,10006,8742.628007619,5107,0,8445,8771857,2558727,177651,117805,6872,1324.42867,32184.447599019,362153,405265,431410,599200,34,454015,632488,13552,22117.3909214,7257996,49,5.49,76.41,99.97,NA
2024-2025,Oct,29,TAMIL NADU,2931,ARIYALUR,3322714,268.770342278732,23,1639,1964.367443759,3489,0,4067,3801843,814460,56936,48848,3040,276.17912,12458.773007759,160832,198331,181234,255023,4,190363,264994,7556,10218.226444,3036155,60,61.92,24.33,100,NA
2024-2025,Oct,29,TAMIL NADU,2936,TENKASI,2531854,275.604673480771,21,1595,2917.804030171,3403,0,3607,2040278,615434,63450,516,75,345.63163,8886.537180171,95301,107011,141888,192259,23,162132,215095,7010,5623.10152,1659846,54,22.04,51.01,100,NA
2024-2025,Nov,29,TAMIL NADU,2904,VILLUPURAM,9081176,260.777046735735,27,10214,8993.475936429,5371,0,9550,10264608,2971887,177902,135612,6893,1496.67281,37257.890347829,369001,415855,432202,600536,121,454529,633504,14921,26767.7416014,8496081,50,6.74,76.12,99.98,NA
2024-2025,Nov,29,TAMIL NADU,2910,ERODE,2732041,284.436292176916,29,1748,4057.308656762,4288,0,6872,2605750,685611,48274,28210,3125,523.02127,11992.028610162,89690,92910,146708,169871,290,188579,220151,11160,7411.6986834,2249034,72,51.22,23.08,100,NA
2024-2025,Nov,29,TAMIL NADU,2915,TIRUVARUR,3776373,248.318634254602,16,1814,2904.233303536,4555,0,6490,2221827,1129023,144838,192,41,734.12467,9155.568435436,131408,159465,181237,270982,15,193867,285615,11045,5517.2104619,1737374,63,59.33,6.9,100,NA
2024-2025,Nov,29,TAMIL NADU,2916,TIRUCHIRAPPALLI,5424817,285.097613068433,26,4825,5939.35236074498,9634,0,9341,6827414,1380988,83632,148192,5139,714.45881,26118.605519045,260776,283888,304007,375307,160,317166,394311,18975,19464.7943483,5969088,66,50.14,21.78,100,NA
2024-2025,Nov,29,TAMIL NADU,2918,PERAMBALUR,2510476,263.359978249728,17,1130,1532.578690541,1344,0,2430,1599980,475718,55517,7532,508,242.31237,5988.598040541,91228,102190,124068,175527,5,141290,194947,3774,4213.70698,1366734,57,22.24,54.29,100,NA
2024-2025,Nov,29,TAMIL NADU,2921,THENI,1350545,280.605738010044,21,815,3695.94918747,1820,0,2049,1032093,223019,25956,676,178,324.05993,6916.12129707,48554,52287,87451,105408,30,111526,131585,3869,2896.1121796,870096,53,27.39,44.23,100,NA
2024-2025,Nov,29,TAMIL NADU,2922,DINDIGUL,5807824,280.882788046938,26,3200,14935.782129967,6028,0,13482,4995540,1063710,84862,2738,372,744.16295,29711.557109967,186205,198569,287213,345885,199,309856,369920,19510,14031.61203,4313364,67,42.78,19.88,100,NA
2024-2025,Nov,29,TAMIL NADU,2930,KRISHNAGIRI,5218154,294.259120818927,27,2695,5044.79375805098,8152,0,9151,5692229,771668,39734,50865,2868,727.3972,22522.093968451,204880,214567,258452,288883,168,292788,329564,17303,16749.9030104,5197753,79,45.59,36.86,100,NA
2024-2025,Nov,29,TAMIL NADU,2932,TIRUPPUR,2766904,282.913140513506,33,533,6915.23414001901,4423,0,5012,2956577,1062654,65386,4544,262,460.7101,15740.489082419,87896,91543,143120,168532,190,176708,227162,9435,8364.5448424,2565937,66,56.81,18.74,100,NA
2024-2025,Nov,29,TAMIL NADU,2934,Ranipet,3026927,274.985102085378,32,1914,3032.982215832,3217,0,4226,4437756,1132193,55177,46917,2197,459.22016,15695.370242732,138317,149957,158380,219243,27,180724,245298,7443,12203.1678669,4006108,56,32.35,51.72,100,NA
2024-2025,Nov,29,TAMIL NADU,2936,TENKASI,2709601,283.738359732222,22,1618,3027.899887371,3696,0,3573,2219601,669684,63528,573,75,398.40497,9724.164327371,97531,109690,142106,192517,28,162198,215180,7269,6297.85947,1808816,55,22.05,51,100,NA
2024-2025,Nov,29,TAMIL NADU,2938,MAYILADUTHURAI,3395569,283.988734774832,25,1237,3431.95454810001,5263,0,6369,3487482,1541819,106602,3320,272,402.17156,13738.1821154,139275,190440,153628,232905,38,160152,240202,11632,9904.0560073,2664003,67,31.28,27.15,100,NA
2024-2025,Nov,29,TAMIL NADU,2902,TIRUVALLUR,6187873,268.701763009269,27,2751,6427.343879593,6143,0,9108,6064330,2242186,119097,190403,8523,1214.10522,23936.410724293,222393,229227,265201,310738,10,305347,370715,15251,16294.9616247,5520547,42,16.03,65.23,100,NA
2024-2025,Nov,29,TAMIL NADU,2912,THE NILGIRIS,525722,302.888541781964,35,219,772.136692848,795,0,1533,605321,179120,13114,50941,3786,208.93089,2814.515532848,17001,17770,34621,43792,52,54484,66516,2328,1833.44795,513826,82,13.22,61.2,100,NA
2024-2025,Nov,29,TAMIL NADU,2913,THANJAVUR,5588931,277.292718246771,26,3452,5250.199649449,7552,0,10072,6194055,1788814,117151,1744,119,1008.4395,23434.302628649,231118,270959,274600,366584,118,293254,387005,17624,17175.6634792,5260243,63,68.45,12.72,100,NA
2024-2025,Nov,29,TAMIL NADU,2934,Ranipet,3026927,276.234153861953,31,1911,3032.982215832,3161,0,4210,4391547,1120950,55171,46148,2197,454.84655,15618.781462732,138187,149787,158374,219237,27,180668,245240,7371,12130.9526969,3964047,56,32.2,51.8,100,NA
2024-2025,Nov,29,TAMIL NADU,2911,COIMBATORE,780438,295.584087925544,31,223,1984.191815399,3488,0,4714,1522288,523141,31745,41342,1874,458.53788,6942.370795799,47666,49083,83879,93366,105,108629,121166,8202,4499.6411004,1394012,68,68.93,8.93,99.97,NA
2024-2025,Nov,29,TAMIL NADU,2916,TIRUCHIRAPPALLI,5424817,288.935808101209,26,4839,5942.53882734499,9925,0,9259,6958887,1408079,83644,150063,5139,714.45881,26763.714025645,261235,284591,304149,375501,170,317570,394804,19184,20106.7163883,6082818,66,50.1,21.72,100,NA
2024-2025,Nov,29,TAMIL NADU,2923,RAMANATHAPURAM,4157438,297.51747356314,31,3777,6500.66170210797,16861,0,12204,5524389,1327089,63686,366,23,719.46954,23656.153824708,172745,186021,200305,246496,353,221679,269721,29065,16436.0225826,4847601,79,60.28,11.24,100,NA
2024-2025,Nov,29,TAMIL NADU,2931,ARIYALUR,3555982,271.363367687325,26,1667,2124.595653159,4087,0,3997,4336614,929368,57007,55300,3043,322.2888,14214.866247159,162776,201585,181516,255488,10,190576,265385,8084,11767.981794,3463149,61,63.44,22.35,100,NA
2024-2025,Nov,29,TAMIL NADU,2934,Ranipet,3026927,276.313095234859,32,1920,3032.982215832,3267,0,4273,4560704,1162287,55206,47887,2202,467.63843,16102.443032732,138623,150387,158486,219381,27,180799,245394,7540,12601.8223869,4116576,56,32.6,51.34,100,NA
2024-2025,Oct,29,TAMIL NADU,2908,NAMAKKAL,3215292,287.317068358225,26,2981,3328.965162926,2731,0,7090,3418228,940037,64794,248066,20671,571.85419,13721.971832326,129599,137449,185176,229544,31,216145,270142,9821,9821.1524794,3026537,60,20.2,55.59,100,NA
2024-2025,Oct,29,TAMIL NADU,2920,MADURAI,5320905,267.780843897657,17,3471,4453.865329194,3769,0,7864,3263263,643994,67529,7655,659,809.39284,14001.651369194,189413,200421,272252,319420,41,294384,353839,11633,8738.3932,2913732,70,53.88,21.69,99.95,NA
2024-2025,Oct,29,TAMIL NADU,2922,DINDIGUL,5426837,275.44483061036,21,2923,10942.567360907,4890,0,10788,3505114,730801,84516,2069,370,614.16576,21211.388440907,164363,173570,285997,344077,49,308795,368268,15678,9654.65532,3032707,62,42.9,16.77,99.98,NA
2024-2025,Oct,29,TAMIL NADU,2935,TIRUPATHUR,2401686,265.131830879978,17,1227,1335.503819226,3977,0,3270,1659224,306943,25406,35316,5106,270.45307,6005.087858826,95694,100753,129221,148103,6,139340,160443,7247,4399.1309696,1507143,83,55.99,27.6,99.88,NA
2024-2025,Oct,29,TAMIL NADU,2911,COIMBATORE,729242,283.236458888856,26,209,1501.379013435,2474,0,4718,1187695,409624,31513,31430,1822,356.9702,5222.334473835,44939,46082,83207,92468,18,108101,120397,7192,3363.9852604,1089960,68,70.03,9.14,99.94,NA
2024-2025,Oct,29,TAMIL NADU,2914,NAGAPATTINAM,2118449,272.561090243738,20,763,2327.1617035,3195,0,4097,1789343,889385,83586,1339,254,280.69417,7484.9086625,85758,103708,108063,165933,19,118559,178328,7292,4877.052789,1438995,76,51.62,18.97,100,NA
2024-2025,Oct,29,TAMIL NADU,2915,TIRUVARUR,3528647,247.927428758921,12,1506,2057.514815436,4065,0,5356,1459867,757125,144535,146,41,581.75898,6258.684511836,114595,135082,180481,269880,7,193436,284883,9421,3619.4107164,1132293,64,57.85,4.45,99.98,NA
2024-2025,Oct,29,TAMIL NADU,2917,KARUR,2399602,280.020807161877,19,1229,2407.856819554,1052,0,4061,1550990,332838,37820,218,26,335.63375,7086.585286554,80890,85224,128239,158821,50,141017,174432,5113,4343.094717,1357267,71,68.83,10.66,99.99,NA
2024-2025,Oct,29,TAMIL NADU,2919,PUDUKKOTTAI,5877818,265.196871409768,21,1598,5653.007160062,5861,0,9823,5065828,960414,83668,81,4,813.36995,19900.794477062,238224,255971,297867,430062,8,332115,474430,15684,13434.417367,4560861,48,30.46,49.3,99.98,NA
2024-2025,Oct,29,TAMIL NADU,2922,DINDIGUL,5426837,269.392943958021,21,2944,10942.567360907,4924,0,11056,3608652,754920,84556,2089,370,614.16576,21278.186980907,166238,175722,286121,344234,71,308804,368302,15980,9721.45386,3122542,63,43.08,17.1,99.98,NA
2024-2025,Oct,29,TAMIL NADU,2926,TIRUNELVELI,1931290,278.082616308666,22,512,1718.291575674,1710,0,4466,1367224,375212,35009,1796,148,362.8616,5883.165445674,60809,62981,99375,116593,27,118356,137214,6176,3802.01227,1254572,43,16.51,48.33,99.98,NA
2024-2025,Oct,29,TAMIL NADU,2927,THOOTHUKKUDI,2896103,269.433326387446,26,1864,2502.577876196,1356,0,3626,3114553,1013526,59442,1279,180,685.22314,11579.444766196,116763,123594,151843,178774,95,168577,208499,4982,8391.64375,2748383,20,23.21,61.36,99.98,NA
2024-2025,Oct,29,TAMIL NADU,2932,TIRUPPUR,2585398,277.125407417809,26,508,5190.35539881901,3108,0,4675,2221896,794860,65038,3728,262,371.88078,11719.674521219,82564,85678,142318,167446,91,175992,226156,7783,6157.4383424,1927477,64,53.9,19.65,99.98,NA
2024-2025,Oct,29,TAMIL NADU,2937,KALLAKURICHI,5909034,253.948525596489,25,3020,3931.0563989,3530,0,7059,6599245,2174579,163670,187992,19850,680.02515,21369.7669269,260558,357886,294193,510712,7,313292,534283,10589,16758.685378,4988243,53,40.98,46.09,99.91,NA
