fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2024-2025,Nov,29,TAMIL NADU,2935,TIRUPATHUR,2570295,264.806819340734,21,1344,1766.219060726,4936,0,4615,2223080,407483,25545,47762,5123,318.9344,7972.020900126,101931,107878,129924,148981,22,139986,161268,9551,5886.8674394,2017420,85,56.62,26.47,99.99,NA
2024-2025,Nov,29,TAMIL NADU,2936,TENKASI,2709601,282.179078277573,22,1619,3028.061972771,3698,0,3607,2241651,676030,63531,573,75,404.45528,9757.987382771,97795,110020,142125,192542,28,162210,215197,7305,6325.47013,1826760,55,22.08,51.02,100,NA
2024-2025,Nov,29,TAMIL NADU,2938,MAYILADUTHURAI,3395569,284.190226920138,25,1237,3431.95454810001,5285,0,6432,3498147,1546637,106609,3320,272,402.17156,13775.5180054,139294,190495,153633,232922,38,160167,240229,11717,9941.3918973,2672011,67,31.26,27.11,100,NA
2024-2025,Nov,29,TAMIL NADU,2906,TIRUVANNAMALAI,11253995,226.871646870625,26,15456,8243.96135765,8736,0,9898,11404721,2601666,151185,467793,28107,1750.91546,35868.95517135,435780,474378,516643,659287,470,537341,681326,18634,25874.0783537,9494967,62,12.02,72.03,99.99,NA
2024-2025,Nov,29,TAMIL NADU,2909,DHARMAPURI,5228992,267.816360910552,20,1858,6901.40850876601,5609,0,8707,3610601,472689,38158,153135,8402,664.31741,17235.506123966,173488,182826,241607,275874,58,273840,310300,14316,9669.7802052,3348956,72,24.51,44.78,99.99,NA
2024-2025,Nov,29,TAMIL NADU,2911,COIMBATORE,780438,295.565703093493,31,223,1984.191815399,3496,0,4707,1522486,523189,31746,41342,1874,458.53788,6942.676145799,47669,49086,83879,93367,105,108640,121187,8203,4499.9464504,1394192,68,68.87,8.96,99.97,NA
2024-2025,Nov,29,TAMIL NADU,2919,PUDUKKOTTAI,6290466,274.469630958588,28,1697,8065.687214667,7729,0,9708,7063733,1313277,83758,118,4,938.67474,28392.163851667,248732,269289,298465,430856,30,332389,474808,17437,19387.801897,6350284,49,34.24,43.16,99.99,NA
2024-2025,Nov,29,TAMIL NADU,2927,THOOTHUKKUDI,3099421,281.631913917473,32,1916,3214.496465796,2147,0,3819,4010570,1312767,59680,1813,179,791.49168,15301.033195796,121697,129314,152763,179833,181,168993,209010,5966,11295.04505,3542687,26,22.94,59.74,100,NA
2024-2025,Nov,29,TAMIL NADU,2932,TIRUPPUR,2766904,286.034524565435,33,595,6920.11486781901,4752,0,4762,2995123,1076933,65386,4629,262,463.27084,15950.471541019,88219,91895,143137,168555,190,176766,227233,9514,8567.0858332,2600060,67,56.75,18.86,100,NA
2024-2025,Nov,29,TAMIL NADU,2933,CHENGALPATTU,4730540,278.812549117731,27,3284,3558.89213494,5397,0,7280,4108496,1720764,105232,89756,4324,671.4227,15685.31726294,150191,157667,198312,241976,38,217638,276321,12677,11455.002428,3610261,54,13.58,72.47,99.98,NA
